Date,Open,High,Low,Close,Adj Close,Volume
2018-11-29,86.500000,87.139999,86.269997,86.959999,65.648476,4269300
2018-11-30,87.220001,87.370003,86.019997,86.529999,65.323853,5651600
2018-12-03,86.529999,87.139999,85.029999,87.080002,65.739075,6580600
2018-12-04,87.410004,88.519997,85.230003,85.430000,64.493439,5325100
2018-12-06,85.529999,85.699997,83.690002,85.290001,64.387756,6413000
2018-12-07,85.000000,85.750000,84.169998,84.559998,63.836658,4780800
2018-12-10,85.129997,85.220001,83.279999,84.220001,63.579971,5431900
2018-12-11,84.650002,85.540001,83.680000,84.330002,63.663033,4989000
2018-12-12,85.410004,85.790001,83.730003,83.820000,63.278004,7762200
2018-12-13,83.589996,84.879997,83.559998,84.339996,63.670578,3992800
2018-12-14,83.889999,83.930000,82.169998,82.500000,62.281479,5676800
2018-12-17,82.629997,82.779999,80.959999,81.400002,61.451073,8359500
2018-12-18,80.059998,80.330002,75.139999,75.169998,56.747871,13641300
2018-12-19,74.750000,74.769997,71.610001,72.040001,55.222443,13595400
2018-12-20,71.489998,71.500000,68.739998,69.080002,52.953445,19218400
2018-12-21,68.949997,71.349998,66.110001,66.209999,50.753445,21310100
2018-12-24,66.430000,67.040001,65.709999,65.970001,50.569473,6647000
2018-12-26,66.050003,66.870003,64.750000,66.860001,51.251698,9326100
2018-12-27,66.480003,66.989998,64.669998,66.680000,51.113724,11009700
2018-12-28,67.650002,69.080002,66.900002,67.269997,51.565979,8260000
2018-12-31,66.970001,67.330002,65.690002,66.760002,51.175049,6663800
2019-01-02,66.129997,67.769997,65.739998,67.309998,51.596649,6471200
2019-01-03,67.019997,68.260002,66.290001,66.440002,50.929745,6178200
2019-01-04,67.029999,69.570000,66.949997,69.550003,53.313732,7220700
2019-01-07,69.190002,69.300003,67.339996,67.419998,51.680965,7807200
2019-01-08,67.680000,68.279999,67.510002,67.870003,52.025928,7257700
2019-01-09,68.250000,68.709999,67.800003,67.910004,52.056580,5924000
2019-01-10,68.180000,68.720001,67.970001,68.150002,52.240562,8988200
2019-01-11,68.459999,69.519997,67.830002,69.500000,53.275391,7150400
2019-01-14,69.239998,69.919998,68.989998,69.620003,53.367393,8408700
2019-01-15,69.349998,70.660004,69.199997,70.500000,54.041946,6639200
2019-01-16,70.400002,71.050003,69.360001,70.750000,54.233589,7360400
2019-01-17,70.610001,72.750000,70.309998,72.519997,55.590389,7974500
2019-01-18,73.260002,74.190002,72.660004,73.790001,56.563908,8715800
2019-01-22,73.360001,73.860001,71.849998,72.809998,55.812691,10288300
2019-01-23,73.169998,74.160004,72.750000,74.000000,56.724892,6260800
2019-01-24,73.550003,73.820000,70.309998,71.550003,54.846840,13249600
2019-01-25,72.080002,73.519997,71.940002,72.730003,55.751362,5211600
2019-01-28,72.610001,74.500000,72.139999,74.349998,56.993183,6605300
2019-01-29,74.449997,75.180000,74.040001,74.410004,57.039177,4798100
2019-01-30,74.849998,75.309998,74.360001,74.480003,57.092831,6093700
2019-01-31,74.800003,77.099998,74.330002,76.720001,58.809906,8512400
2019-02-01,77.029999,77.050003,75.330002,75.730003,58.051022,7805500
2019-02-04,75.510002,76.190002,75.260002,76.050003,58.296333,5362200
2019-02-05,76.010002,76.250000,75.599998,75.809998,58.112350,4760000
2019-02-06,75.540001,76.110001,75.339996,75.510002,57.882366,4993800
2019-02-07,77.760002,78.620003,75.769997,76.730003,58.817558,6972400
2019-02-08,76.989998,80.019997,76.400002,79.980003,61.308865,12070200
2019-02-11,79.559998,80.029999,78.919998,79.050003,60.595978,7012000
2019-02-12,79.199997,80.860001,78.970001,80.599998,61.784130,6144800
2019-02-13,80.959999,81.330002,80.550003,81.300003,62.320724,5248700
2019-02-14,81.110001,82.500000,81.019997,81.849998,62.742332,5625500
2019-02-15,82.800003,83.559998,82.199997,83.459999,63.976471,6435100
2019-02-19,83.529999,83.699997,82.629997,83.389999,63.922810,5307100
2019-02-20,83.480003,85.779999,83.389999,85.040001,65.187622,5633000
2019-02-21,85.050003,85.820000,84.529999,85.580002,65.601555,5887200
2019-02-22,85.480003,87.250000,85.160004,87.150002,66.805046,4317800
2019-02-25,87.410004,87.699997,86.570000,86.599998,66.383446,5020100
2019-02-26,86.309998,87.470001,86.199997,86.510002,66.314468,4756200
2019-02-27,87.279999,87.599998,86.730003,87.269997,66.897041,4669900
2019-02-28,87.269997,87.540001,86.760002,86.940002,66.644058,4290100
2019-03-01,87.419998,87.699997,86.750000,87.510002,67.081024,4379100
2019-03-04,87.800003,88.000000,86.660004,87.279999,66.904701,3711700
2019-03-05,86.820000,87.680000,86.540001,86.980003,66.674751,5547100
2019-03-06,86.980003,87.379997,86.379997,87.019997,66.705406,4938400
2019-03-07,87.070000,87.139999,86.389999,86.970001,66.667061,4802400
2019-03-08,86.910004,87.970001,86.760002,87.449997,67.035004,3865500
2019-03-11,87.610001,89.500000,87.610001,89.239998,68.407143,6022500
2019-03-12,89.500000,90.269997,88.480003,88.800003,68.069878,5669800
2019-03-13,88.889999,89.790001,88.580002,89.500000,68.606461,4468900
2019-03-14,89.129997,89.910004,88.959999,89.790001,68.828751,4534700
2019-03-15,89.559998,91.320000,89.400002,90.849998,69.641266,12348400
2019-03-18,91.239998,91.300003,90.559998,90.730003,69.549324,5948500
2019-03-19,90.730003,91.550003,90.150002,90.500000,69.372993,6075400
2019-03-20,90.300003,91.019997,89.860001,90.739998,69.556976,5253800
2019-03-21,90.339996,92.010002,90.230003,91.910004,70.453850,4262600
2019-03-22,91.669998,92.739998,91.129997,91.169998,69.886597,5980000
2019-03-25,89.529999,89.790001,88.169998,88.269997,68.520378,7938800
2019-03-26,88.610001,89.440002,88.279999,88.589996,68.768784,5925700
2019-03-27,88.269997,88.610001,85.949997,87.029999,67.557823,6483200
2019-03-28,87.000000,87.980003,86.889999,87.279999,67.751862,5840000
2019-03-29,87.480003,88.510002,87.080002,88.389999,68.613533,6314000
2019-04-01,88.379997,88.830002,87.940002,88.199997,68.466034,4249600
2019-04-02,88.650002,89.089996,87.739998,88.010002,68.318550,3995200
2019-04-03,87.540001,87.860001,85.180000,85.809998,66.610779,7323500
2019-04-04,86.089996,86.699997,85.949997,86.070000,66.812614,4672800
2019-04-05,86.110001,86.250000,84.910004,85.440002,66.323555,5495000
2019-04-08,85.769997,85.830002,84.959999,85.309998,66.222656,4439100
2019-04-09,85.230003,86.040001,85.089996,85.839996,66.634064,3898900
2019-04-10,85.519997,86.040001,85.410004,85.709999,66.533157,2855400
2019-04-11,85.760002,86.000000,85.470001,85.510002,66.377899,3893400
2019-04-12,86.000000,86.040001,85.349998,85.769997,66.579735,4652900
2019-04-15,86.099998,86.690002,85.860001,86.190002,66.905754,3491300
2019-04-16,86.239998,86.660004,85.839996,86.209999,66.921280,4544800
2019-04-17,86.419998,86.500000,85.150002,85.480003,66.354630,4675700
2019-04-18,85.639999,87.449997,82.629997,84.489998,65.586105,7765400
2019-04-22,84.139999,85.389999,83.910004,84.290001,65.430870,3530300
2019-04-23,84.400002,85.070000,83.919998,84.910004,65.912148,6397600
2019-04-24,84.730003,84.830002,83.169998,84.449997,65.555069,4716500
2019-04-25,83.449997,83.900002,82.449997,83.589996,64.887489,5241400
2019-04-26,83.940002,85.129997,83.889999,84.760002,65.795700,3930300
2019-04-29,84.669998,85.300003,84.389999,84.900002,65.904381,4416700
2019-04-30,84.830002,87.529999,84.570000,86.559998,67.192978,5640300
2019-05-01,87.050003,87.129997,85.680000,85.779999,66.587479,3655700
2019-05-02,85.419998,86.730003,84.709999,84.919998,65.919914,2852800
2019-05-03,85.510002,85.949997,84.919998,85.699997,66.525383,2738800
2019-05-06,85.220001,85.889999,84.459999,85.120003,66.075165,3307900
2019-05-07,84.610001,84.839996,83.029999,84.430000,65.539543,4804400
2019-05-08,84.220001,84.550003,83.360001,83.809998,65.058273,3224000
2019-05-09,83.379997,84.230003,82.669998,83.930000,65.151421,3503200
2019-05-10,83.440002,84.809998,82.599998,84.540001,65.624931,3318400
2019-05-13,83.849998,83.879997,83.129997,83.699997,64.972878,2491200
2019-05-14,83.290001,85.260002,83.070000,84.089996,65.275620,3157100
2019-05-15,83.739998,85.580002,83.510002,85.339996,66.245949,3223700
2019-05-16,85.349998,86.089996,84.940002,85.510002,66.377899,2928000
2019-05-17,85.739998,87.199997,84.879997,86.809998,67.387039,3886200
2019-05-20,86.570000,87.570000,85.720001,86.230003,66.936821,3131300
2019-05-21,86.449997,86.699997,85.629997,85.760002,66.571960,3165300
2019-05-22,85.370003,85.959999,84.730003,85.489998,66.362373,2886000
2019-05-23,85.489998,86.279999,85.360001,86.239998,66.944572,2814700
2019-05-24,86.220001,86.220001,83.830002,84.639999,65.702553,3283900
2019-05-28,84.019997,84.019997,80.919998,81.550003,63.303925,8499900
2019-05-29,80.739998,81.720001,80.699997,81.139999,62.985661,4282100
2019-05-30,81.320000,81.559998,79.349998,79.599998,61.790218,3827700
2019-05-31,79.309998,79.860001,76.989998,77.129997,59.872849,6420800
2019-06-03,77.510002,78.639999,76.870003,78.610001,61.021717,5160200
2019-06-04,79.150002,79.489998,78.169998,78.500000,60.936325,3850900
2019-06-05,78.949997,79.000000,76.650002,77.250000,59.966003,5201800
2019-06-06,77.550003,78.680000,77.110001,77.199997,59.927185,4730500
2019-06-07,77.820000,78.769997,77.570000,78.169998,60.680172,4590000
2019-06-10,78.150002,78.389999,76.639999,76.959999,59.740891,4617000
2019-06-11,77.169998,78.550003,77.000000,78.139999,60.656876,4607100
2019-06-12,77.739998,78.410004,77.000000,77.209999,59.934952,3147000
2019-06-13,77.279999,77.779999,77.070000,77.589996,60.229927,3555700
2019-06-14,77.800003,78.370003,77.040001,77.199997,59.927185,5521300
2019-06-17,77.010002,78.629997,76.919998,77.989998,60.540432,4917100
2019-06-18,78.260002,78.360001,76.239998,77.110001,59.857338,5186100
2019-06-19,77.580002,77.599998,76.080002,76.650002,59.500244,5512300
2019-06-20,76.129997,77.419998,75.580002,77.180000,60.816174,7404800
2019-06-21,77.250000,79.220001,76.379997,79.220001,62.423660,17187700
2019-06-24,78.599998,79.360001,77.699997,77.830002,61.328350,6912100
2019-06-25,78.000000,79.050003,77.419998,78.820000,62.108452,5568500
2019-06-26,78.900002,78.900002,77.199997,77.379997,60.973763,6268500
2019-06-27,77.500000,78.260002,77.279999,77.919998,61.399277,3951500
2019-06-28,78.220001,78.570000,77.650002,78.529999,61.879940,8436200
2019-07-01,78.800003,78.949997,77.830002,77.980003,61.446548,4227600
2019-07-02,78.360001,79.820000,77.959999,79.750000,62.841274,4015200
2019-07-03,79.980003,80.660004,79.430000,80.629997,63.534698,3860900
2019-07-05,80.349998,80.419998,78.459999,80.120003,63.132824,3425200
2019-07-08,80.250000,80.870003,79.519997,79.610001,62.730953,3203300
2019-07-09,79.639999,80.209999,78.940002,79.440002,62.597008,3579300
2019-07-10,79.360001,80.379997,79.269997,80.279999,63.258904,4297100
2019-07-11,80.430000,81.779999,80.110001,81.260002,64.031128,4381000
2019-07-12,81.550003,82.110001,81.430000,81.889999,64.527550,4257100
2019-07-15,82.000000,82.190002,81.080002,81.470001,64.196602,5325300
2019-07-16,81.269997,81.680000,80.949997,81.580002,64.283272,3071400
2019-07-17,81.500000,81.940002,80.849998,81.050003,63.865658,2929600
2019-07-18,84.699997,89.449997,84.500000,87.709999,69.113586,13397100
2019-07-19,88.360001,89.980003,87.860001,88.730003,69.917313,7561700
2019-07-22,88.970001,89.050003,86.879997,86.949997,68.514717,5366100
2019-07-23,87.480003,87.589996,86.169998,86.750000,68.357147,4758400
2019-07-24,86.419998,86.629997,84.750000,85.019997,66.993919,4316500
2019-07-25,85.269997,86.290001,84.750000,85.629997,67.474594,3715600
2019-07-26,85.839996,86.480003,85.230003,85.980003,67.750374,3348300
2019-07-29,86.290001,87.029999,85.839996,86.760002,68.365013,4461400
2019-07-30,86.019997,86.570000,85.169998,86.300003,68.002548,3952800
2019-07-31,85.940002,86.400002,82.180000,83.610001,65.882866,6793000
2019-08-01,84.300003,85.209999,82.410004,82.449997,64.968811,6385200
2019-08-02,82.699997,84.550003,81.879997,84.169998,66.324142,6109100
2019-08-05,83.570000,83.820000,79.489998,80.260002,63.243149,6849300
2019-08-06,81.120003,81.650002,80.559998,81.320000,64.078400,6313100
2019-08-07,80.360001,81.660004,79.349998,81.360001,64.109932,6434700
2019-08-08,81.430000,82.720001,81.309998,82.480003,64.992455,3266600
2019-08-09,82.430000,82.989998,81.790001,82.589996,65.079140,3068500
2019-08-12,82.449997,83.040001,81.720001,82.379997,64.913658,2172500
2019-08-13,81.639999,84.099998,81.639999,83.949997,66.150757,4476900
2019-08-14,83.510002,83.769997,83.019997,83.330002,65.662239,6642500
2019-08-15,83.930000,84.690002,83.110001,84.489998,66.576286,3980200
2019-08-16,84.730003,85.510002,84.660004,84.910004,66.907242,3302500
2019-08-19,85.650002,86.050003,84.779999,85.010002,66.986046,3108100
2019-08-20,84.910004,84.980003,82.290001,83.000000,65.402214,3656000
2019-08-21,83.419998,83.599998,82.080002,83.050003,65.441612,3311100
2019-08-22,82.550003,83.860001,82.419998,82.949997,65.362808,3681200
2019-08-23,82.790001,83.349998,80.660004,81.220001,63.999611,4263800
2019-08-26,81.000000,81.570000,76.410004,77.730003,61.249561,11518000
2019-08-27,75.099998,75.400002,69.269997,71.699997,56.498043,41583100
2019-08-28,71.919998,75.669998,71.900002,74.320000,58.562553,18953200
2019-08-29,75.279999,75.650002,71.610001,72.720001,57.301788,13238200
2019-08-30,72.830002,73.220001,71.750000,72.089996,56.805359,9045000
2019-09-03,72.000000,72.790001,71.110001,72.660004,57.254509,4466900
2019-09-04,72.690002,73.250000,71.519997,73.019997,57.538193,5386700
2019-09-05,73.400002,73.419998,71.879997,71.949997,56.695042,6613400
2019-09-06,72.260002,73.419998,71.980003,72.970001,57.498783,6130000
2019-09-09,73.000000,73.389999,72.419998,73.300003,57.758823,5528100
2019-09-10,72.699997,74.559998,72.500000,74.500000,58.704407,7401900
2019-09-11,74.540001,75.480003,74.120003,75.070000,59.153534,8443100
2019-09-12,75.209999,75.400002,74.050003,74.900002,59.019588,6242900
2019-09-13,74.309998,74.779999,73.000000,73.050003,57.561829,10572800
2019-09-16,72.180000,72.720001,71.769997,72.599998,57.207226,10547300
2019-09-17,73.449997,73.459999,71.870003,72.019997,56.750202,7752700
2019-09-18,71.870003,72.330002,71.059998,71.559998,56.387726,7359600
2019-09-19,71.500000,72.199997,71.099998,71.709999,56.505924,8374200
2019-09-20,71.209999,72.830002,71.000000,71.199997,56.104065,15987500
2019-09-23,71.000000,72.769997,70.570000,72.000000,56.734451,6967500
2019-09-24,71.160004,71.879997,70.900002,71.559998,57.319164,8846900
2019-09-25,76.930000,77.879997,75.080002,75.279999,60.298859,20435300
2019-09-26,74.910004,75.820000,74.290001,75.290001,60.306881,5954400
2019-09-27,75.160004,75.650002,74.650002,75.129997,60.178719,4142900
2019-09-30,75.160004,76.180000,75.029999,75.930000,60.819519,4908900
2019-10-01,76.209999,77.989998,76.059998,77.830002,62.341396,7555000
2019-10-02,77.830002,78.099998,76.190002,76.720001,61.452305,7000600
2019-10-03,76.300003,77.250000,75.809998,76.769997,61.492340,3550900
2019-10-04,76.430000,78.370003,76.320000,78.279999,62.701855,4381300
2019-10-07,78.099998,78.370003,77.169998,77.169998,61.812748,5370900
2019-10-08,76.709999,77.379997,76.040001,76.370003,61.171955,5773900
2019-10-09,76.910004,77.519997,76.580002,77.449997,62.037033,3831200
2019-10-10,78.040001,78.290001,77.010002,77.750000,62.277328,3885800
2019-10-11,78.480003,78.629997,77.150002,77.949997,62.437519,6289000
2019-10-14,76.930000,78.050003,76.150002,78.029999,62.501602,4137500
